run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,scope,error_regime,best_model,disagreement_regime,n
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoETS,bin_0,76
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoETS,bin_1,24
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,LGBM,bin_0,92
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,LGBM,bin_1,28
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,XGB,bin_0,75
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,XGB,bin_1,17
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoARIMA,bin_0,26
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoARIMA,bin_1,94
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoETS,bin_0,17
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoETS,bin_1,46
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,LGBM,bin_0,28
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,LGBM,bin_1,65
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,XGB,bin_0,25
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,XGB,bin_1,57
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoARIMA,bin_0,76
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoARIMA,bin_1,28
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoETS,bin_0,111
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoETS,bin_1,33
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,LGBM,bin_0,49
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,LGBM,bin_1,15
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,XGB,bin_0,52
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,XGB,bin_1,15
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoARIMA,bin_0,22
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoARIMA,bin_1,95
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoETS,bin_0,38
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoETS,bin_1,79
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,LGBM,bin_0,29
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,LGBM,bin_1,46
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,XGB,bin_0,20
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,XGB,bin_1,48
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoARIMA,bin_0,106
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoARIMA,bin_1,42
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoETS,bin_0,79
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoETS,bin_1,27
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,LGBM,bin_0,59
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,LGBM,bin_1,16
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,XGB,bin_0,59
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,XGB,bin_1,15
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoARIMA,bin_0,16
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoARIMA,bin_1,90
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,36.0,"12,24,36",2,2,42,1,full,pattern_length,bin_1,AutoETS,bin_0,29
