run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,scope,error_regime,best_model,disagreement_regime,n
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_0,XGB,bin_0,33
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_0,XGB,bin_1,5
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_1,AutoARIMA,bin_0,28
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_1,AutoARIMA,bin_1,100
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_1,AutoETS,bin_0,19
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_1,AutoETS,bin_1,63
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_1,LGBM,bin_0,21
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_1,LGBM,bin_1,32
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_1,XGB,bin_0,20
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_1,XGB,bin_1,30
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoARIMA,bin_0,66
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoARIMA,bin_1,33
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoETS,bin_0,54
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,AutoETS,bin_1,25
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,LGBM,bin_0,65
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,LGBM,bin_1,15
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12.0,"12,24,36",2,2,42,1,full,pattern_length,bin_0,XGB,bin_0,52
